temp_extruder,temp_bed,max_x,max_y,max_z,max_speed,max_extrusion,fan_speed,num_commands,out_of_bounds_moves,label
205.0,60.0,160.109,220.004,10.0,10500.0,4158.9064,255.0,122327,15,0
210.0,60.0,144.248,220.0,11.8,9000.0,4157.53749,255.0,121344,0,0
210.0,60.0,222.213,235.0,45.48,9000.0,4162.93815,255.0,570063,74,0
210.0,60.0,172.963,235.0,60.24,9000.0,4162.99239,255.0,838739,1,0
210.0,55.0,179.509,235.0,10.0,9000.0,4157.54866,255.0,106479,1,0
210.0,60.0,180.627,220.0,47.6,9000.0,4159.01219,255.0,1035939,0,0
210.0,60.0,211.0,300.0,10.28,9000.0,4157.52124,255.0,50850,1,0
200.0,50.0,140.8,235.0,25.48,9000.0,4157.88863,255.0,17944,1,0
200.0,60.0,172.053,235.0,19.92,9000.0,4153.71186,255.0,152979,1,0
200.0,60.0,141.755,235.0,19.92,9000.0,4155.78459,255.0,265784,1,0
210.0,50.0,166.951,235.0,38.2,10500.0,4157.59791,255.0,44257,1,0
210.0,60.0,217.187,235.0,53.2,9000.0,4162.56518,255.0,761528,1,0
200.0,60.0,152.108,235.0,28.56,6000.0,4157.52637,255.0,732362,1,0
210.0,60.0,175.231,235.0,13.14,9000.0,4153.64234,255.0,377149,1,0
200.0,60.0,140.996,235.0,10.0,9000.0,2826.42113,255.0,59713,1,0
210.0,60.0,152.824,235.0,71.0,9000.0,4157.55045,255.0,143315,1,0
215.0,60.0,155.756,235.0,44.67,9000.0,2198.66399,255.0,210523,1,0
200.0,60.0,158.6,235.0,10.0,6000.0,3929.34414,255.0,170828,1,0
228.0,0.0,145.833,235.0,10.0,9000.0,1578.38496,255.0,36334,1,0
210.0,62.0,137.314,235.0,21.4,9000.0,1245.73115,255.0,139188,1,0
240.0,80.0,183.452,235.0,228.6,9000.0,4164.50717,0.0,895475,1,0
210.0,60.0,194.804,235.0,10.0,9000.0,4166.42098,255.0,21372,90,0
210.0,60.0,178.5,235.0,10.16,9000.0,4170.84149,255.0,9180,1,0
210.0,60.0,179.0,235.0,10.28,9000.0,4160.99557,255.0,40068,1,0
210.0,60.0,170.212,235.0,50.0,9000.0,4164.90291,255.0,190154,1,0
210.0,60.0,173.799,235.0,110.16,6000.0,4161.55485,255.0,1577529,1,0
210.0,55.0,159.331,235.0,140.2,9000.0,4154.23537,255.0,92475,1,0
200.0,60.0,148.928,235.0,16.1,9000.0,2663.61589,255.0,51430,1,0
200.0,60.0,147.11,235.0,27.9,9000.0,4155.93307,255.0,133311,1,0
200.0,50.0,220.55,235.0,141.0,9000.0,4162.76107,255.0,4004295,14,0
210.0,60.0,238.495,235.0,50.8,9000.0,4163.02218,255.0,609470,2180,0
210.0,55.0,160.563,235.0,44.4,9000.0,4157.88393,255.0,505965,1,0
200.0,60.0,164.427,235.0,42.76,6000.0,4161.53288,255.0,1285156,1,0
210.0,60.0,109.099,235.0,32.52,9000.0,4157.64426,255.0,361415,1,0
210.0,50.0,192.61,235.0,15.8,10500.0,4158.52537,255.0,74764,1,0
210.0,55.0,137.341,235.0,45.0,9000.0,4159.20425,255.0,87879,1,0
210.0,66.0,175.11,235.0,169.0,9000.0,4163.16103,255.0,822012,1,0
200.0,60.0,138.225,235.0,23.16,9000.0,2458.88661,255.0,148804,1,0
200.0,60.0,186.182,235.0,17.16,6000.0,4157.65884,255.0,193225,1,0
200.0,60.0,177.407,235.0,95.76,6000.0,4161.54736,255.0,184129,1,0
50.0,100.0,159.95,235.0,10.0,9000.0,1437.42336,255.0,3159,1,0
200.0,60.0,176.34,235.0,63.24,6000.0,4158.15357,255.0,880603,1,0
210.0,60.0,160.381,235.0,19.08,9000.0,1161.25696,255.0,63942,1,0
200.0,50.0,171.469,235.0,94.8,9000.0,4162.59801,255.0,384263,1,0
210.0,60.0,162.499,235.0,10.0,9000.0,2782.7454,255.0,51891,1,0
200.0,50.0,193.09,235.0,21.0,9000.0,4163.04959,255.0,61638,66,0
210.0,62.0,139.307,235.0,23.9,9000.0,2106.19275,255.0,178168,1,0
215.0,60.0,150.97,235.0,68.8,9000.0,4157.66901,255.0,381750,1,0
200.0,60.0,192.8,235.0,110.16,6000.0,4162.00314,255.0,999945,1,0
210.0,60.0,221.456,235.0,101.6,9000.0,4167.34234,255.0,266227,15,0
210.0,55.0,215.937,235.0,10.0,9000.0,4158.51329,255.0,182442,38,0
210.0,60.0,190.235,235.0,50.8,9000.0,4162.56089,255.0,296677,1,0
220.0,60.0,186.708,235.0,228.6,9000.0,4165.52379,255.0,855962,1,0
205.0,60.0,186.515,235.0,228.6,9000.0,4163.69514,255.0,854734,1,0
210.0,60.0,139.1,235.0,15.5,9000.0,388.4356,255.0,15735,1,0
200.0,60.0,167.561,235.0,55.16,9000.0,4163.3691,255.0,426587,1,0
200.0,50.0,154.804,235.0,10.0,9000.0,1626.32753,255.0,51665,1,0
200.0,50.0,186.711,235.0,10.0,9000.0,1410.64089,255.0,32398,1,0
200.0,60.0,169.518,235.0,23.24,9000.0,4157.74434,255.0,192227,1,0
200.0,60.0,158.797,235.0,11.76,9000.0,4157.87302,255.0,129043,1,0
210.0,60.0,191.99,235.0,22.2,9000.0,4164.2298,255.0,43239,1,0
210.0,50.0,169.66,235.0,10.0,9000.0,2855.05338,255.0,85408,1,0
200.0,50.0,154.764,235.0,26.0,9000.0,4157.52846,255.0,212994,1,0
210.0,60.0,189.216,235.0,59.16,9000.0,4163.41841,255.0,187462,1,0
210.0,50.0,160.25,235.0,51.36,7200.0,4157.61871,255.0,54476,1,0
210.0,60.0,196.554,235.0,30.6,9000.0,4166.67589,255.0,81217,1,0
210.0,60.0,125.926,235.0,15.6,9750.0,510.88642,255.0,26653,1,0
210.0,60.0,185.389,235.0,38.2,9000.0,4163.38066,255.0,96119,1,0
